,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098
GlobTemp,0.295008381,0.18637683,-0.040597585,-0.016350813,-0.093542553,0.063442045,0.11117285,0.176733076,0.23955361,0.246315637,0.22184067,0.087938215,0.078071384,-0.052381384,-0.125870195,-0.12622749,0.008105152,0.099200484,0.096993211,-0.092039307,0.013351123,0.129967747,0.226620458,-0.103297027,-0.138542149,-0.256524729,-0.289926156,-0.128326573,-0.146163617,-0.143404124,-0.158443838,-0.142188061,-0.037421224,0.044291179,0.125139954,-0.038718354,-0.169087028,-0.272552541,-0.06156807,0.18411834,0.079786052,0.054525829,-0.335865189,-0.427579948,-0.333773861,-0.330723444,-0.339996094,-0.277471918,-0.251226522,-0.405750219,-0.380246004,-0.233660354,-0.250253718,-0.206042283,0.004062363,0.109632426,0.145378686,0.007202062,0.086618636,0.207358884,0.115065946,0.084304605,0.099058233,0.120488177,0.33168623,0.250819403,0.236585654,0.33167219,0.159675661,0.08190343,0.249813499,0.268868311,0.25854648,0.279706126,0.261085668,0.15307362,0.060861734,0.134551922,0.219020741,0.206484259,0.096839227,0.234395699,0.3233476,0.208882551,0.096520191,0.021845666,0.008971741,0.12630241,0.129824605,0.190332435,0.350807908,0.238270968,0.283617343,0.246906075,0.242148313,0.249481417,0.321932534,0.22306801,0.214709084,0.329518704,0.186341584,0.194718548,0.126144338,0.030393274,-0.08530036,-0.031403865,0.251574787,0.1249614,0.036200803,0.024390311,0.184746528,0.205937995,0.132696351,0.007433193,0.061425295,0.194828025,0.340860661,0.341903256,0.210971788,0.213536096,0.202928064,0.322420398,0.18786955,0.025368569,0.125006778,0.2799397,0.226496003,0.386121649,0.478862528,0.448764097,0.477056912,0.187581828,0.111422284,0.290141338,0.191545958,0.157036023,0.310049108,0.491636914,0.566229019,0.656432336,0.683048212,0.696789405,0.719678158,0.707558809,0.801116716,0.845927952,0.970814105,1.032804177,1.086791121,1.099000727,1.048224473,1.198155787,1.207311138,1.240482312,1.178456609,1.180699443,1.177521664,1.326286871,1.270385919,1.163152477,1.270633918,1.413642015,1.441880555,1.450196727,1.437387071,1.532286163,1.655437854,1.617726346,1.494787224,1.471391721,1.359693611,1.650413644,1.751081456,1.70509871,1.68003232,1.638526045,1.692575746,1.640016755,1.659472196,1.866305505,1.85829031,1.962896366,2.042063034,2.131847678,1.942056253,1.925724095,2.077291123,2.055062605,2.026954597,2.057862163,2.109609659,2.13665786,2.178590973,2.347815066,2.335305214,2.2352413,2.141290361,2.305490877,2.264446012,2.381355188,2.45424327,2.383357284,2.529650054,2.813686057,2.847485786,2.873296261,2.879598238,3.021978307,3.039466138,2.906358357,2.91720271,3.012615142,2.95432246,3.161400474,3.06385945,3.070464242,3.17640592,3.179363191,3.240727107,3.36612978,3.420794199,3.508219911,3.475333163,3.377671013,3.351038293,3.427451925,3.469859324,3.556727307,3.566544856,3.432433419,3.502388369,3.594832095,3.718919767,3.830606509,3.802423008,3.608329006,3.683119348,3.724250421
NBPGlobFON,-1.243537425,-1.30883352,2.21227055,0.81896797,0.457628555,0.379379951,-0.915251467,-0.054797911,-0.735924328,0.781690897,-0.173031163,-0.102905368,0.623956221,1.005166057,0.314986056,1.126437495,-0.206491122,-0.285333012,-0.90535582,1.572148247,0.60230423,-0.519888964,-1.33851819,1.842463895,0.328366239,0.954098514,2.124862086,-0.508286441,0.601412637,-0.09715011,-0.481634659,-0.080884045,0.07855641,-0.744908307,-1.71706596,-1.148920821,-0.023070604,0.820745318,-0.038288339,-1.359466461,-1.503996692,-2.400166046,0.046604301,0.389130506,1.214047719,1.563121943,0.033847336,0.231221663,-1.276608797,1.298256744,0.3954945,-0.111225315,0.110403332,-0.561728876,-1.77036803,0.339356511,-0.571108585,-0.393509024,-0.082761404,-0.555201194,-0.453912175,-0.354012663,-0.289850594,-0.270203509,0.359851017,0.244093351,1.329707012,-0.677928733,0.252891982,0.445672397,0.2165086,-0.775874019,-0.598180027,-0.34199174,-1.393819493,0.130457184,-0.432234911,-0.053275134,-0.274904424,-0.288558227,0.193704008,-0.980565142,-1.147584473,0.271391082,0.416004492,0.230720443,1.298906375,-0.897997325,-0.51842934,-0.543171395,-0.321104574,0.933447982,0.103739548,-0.134724935,0.792854289,0.141313672,-0.268655581,-0.188940248,-1.02178622,-0.726566855,0.370896866,-0.280806913,1.963729882,-0.148557001,0.508244294,1.273419019,-1.629639293,-0.87830842,1.357038878,0.695360801,-0.571036267,-0.052400954,0.58538843,1.046536943,0.792663779,0.617729293,-0.695487658,-0.331571041,0.584003632,0.700797076,0.79791399,0.2914693,-0.773340538,1.764635641,1.309176375,1.051088267,1.171202232,1.229818261,0.143993174,-0.000698979,0.594474743,1.173626544,2.042372677,0.337265982,0.940466841,2.155733657,1.140428823,0.593909613,0.168376509,-1.699348423,-1.159283695,1.012528408,1.579549041,2.003880889,0.474594602,0.731755326,0.53591838,0.505038132,0.454257111,0.612818513,1.480977748,0.410474152,-0.040595471,0.300466047,1.686944419,1.430991089,1.432832793,0.60706027,1.439845914,2.811333555,1.710416956,0.109771964,-0.850745395,1.075598166,1.640627458,2.467181017,-0.318554287,-0.674132623,1.503852373,1.375498798,2.419450582,0.508979019,-0.006403532,1.037231704,1.039208368,0.957290326,0.957544998,2.576226234,1.122911614,-0.069136173,1.022136408,0.030087353,-0.253728028,0.387869529,1.281336967,2.222350386,-0.148326447,1.473460762,2.091565297,1.164016459,0.615120633,1.429458858,0.33063943,-0.993505623,0.309170018,2.152486962,2.371426313,0.777178196,2.238367849,2.193066986,1.272103603,1.494733408,1.094105562,-1.401017176,0.273684829,-0.009242606,1.399157689,-1.036413442,-0.539483932,1.209563219,1.281491767,0.240079808,1.675488695,-1.584697811,1.256677388,1.380405913,-0.672487002,1.184761104,2.149285597,0.281498844,-0.117835517,0.086004194,0.624909399,2.369467222,1.315740275,1.535887729,1.966153434,0.103413555,-1.466592848,2.783750583,2.624952937,2.930587738,0.447828494,-0.841352533,-0.922022517,1.992111676,1.04549965,2.257763747
NBPGlobFOFF,-1.512666013,-1.3123111,1.950515662,0.925130805,0.557526116,0.019634501,-0.96902802,-0.041458867,-1.02787342,0.557514875,-0.480092849,-0.300816089,0.7075815,1.099402767,0.624763566,0.768919126,-0.464459673,-0.430547154,-0.933479567,1.421386977,1.040189675,-0.622360751,-1.70385618,1.727255619,0.47949679,1.087910536,1.908220368,-0.624534395,0.177068497,-0.265661349,-0.493558134,-0.713477777,-0.306501179,-0.820369876,-1.339730373,-0.826305281,0.006241262,0.608429827,-0.094768763,-1.255787997,-1.735082267,-2.386309627,-0.03771465,0.485744993,0.686349531,1.432605414,-0.113188246,1.028871011,-1.116080403,0.986555012,0.677941172,0.312031769,0.419014267,-0.762552482,-1.997470029,0.34324427,-0.406928043,-0.655161253,0.008356449,-0.593722427,-0.705684598,-0.451953457,-0.359076388,-0.507748643,-0.06328318,0.171773552,1.195155139,-0.861132413,0.213330605,0.051971039,0.402774475,-0.488537154,-0.53652387,-0.484175415,-1.386112626,0.277219218,-0.687242444,-0.032280405,-0.180678054,-0.264016941,-0.351021516,-0.77447988,-1.52294364,0.481723299,0.184362139,-0.006969911,0.828466312,-1.484306267,-0.567327682,-0.910431771,-0.370468988,0.209319975,-0.295236479,-0.627518019,0.077037156,-0.526056607,-1.058826076,-0.866524822,-1.355653641,-1.282825089,-0.152475036,-0.404217922,1.316474701,-0.795985021,-0.008625388,0.54910064,-1.929840899,-1.052637713,1.041164061,0.263842835,-0.87163597,-0.398605455,0.503737451,1.096733038,0.278231046,0.350738896,-0.790043927,-0.775480985,0.485466781,0.68223108,0.816289262,-0.186501201,-0.569678414,1.429266891,1.216871458,0.838165498,0.814910806,0.90143565,-0.108628417,-0.146683506,0.6111022,0.729607624,1.880665184,0.392161658,0.916761757,2.326317287,1.067355786,0.426319755,-0.026742178,-1.741215038,-1.215131329,0.932614873,1.414624363,1.824700797,0.882710678,0.689025646,1.134217844,0.781869635,0.580720211,0.811342828,1.672823694,0.828275309,0.21974485,0.334502603,1.629501208,1.492989898,1.912295581,0.672582487,1.813157316,3.14879313,2.216540173,0.390777161,0.124610571,1.730393822,1.91949862,2.672328193,0.002796907,-0.250566586,1.995543872,2.017688838,2.880020251,0.79424281,0.883727239,1.512665023,1.54426755,1.456995669,1.515525993,3.044710701,1.580765914,0.188688987,1.558789718,0.539479882,0.125875915,0.623347872,2.212140607,2.732373451,0.491076191,2.019236717,2.615631363,1.445229971,0.899965585,1.798109939,0.924797913,-0.22355568,1.199206607,2.975997354,3.370125095,1.479497933,2.906883161,3.090458495,2.280833255,2.683773177,2.396595555,-0.47782652,1.29672038,1.304508271,2.399630673,-0.08566257,0.731437411,2.45418147,2.326704047,1.068817441,2.505976814,-0.355568763,2.388524141,2.615999351,0.265748206,2.70761055,3.392103939,1.623471711,1.13895036,1.020679605,1.890632124,3.807994694,2.763981597,2.365068576,3.260323078,1.25793496,0.388628322,4.31336454,3.794679482,4.108169256,1.371508765,0.715911242,0.465806023,3.272166661,1.97402985,3.721329646
,BONA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,0.022752022,-0.043883601,0.037875371,0.009170715,0.194455009,0.091424649,-0.171047057,-0.080675522,0.128995644,-0.065983404,0.248135425,0.163246269,-0.122001238,-0.050500385,-0.09468888,-0.143901374,-0.117767241,-0.099973523,0.133232204,-0.044837491,-0.07609082,-0.075840633,-0.143611995,0.01830792,-0.064826061,-0.425029906,-0.129590139,-0.178069721,-0.021717348,0.005318082,-0.141094269,0.137761268,0.061161061,0.149997172,-0.116936167,-0.014974949,-0.086119426,-0.050436287,0.023748072,-0.140041633,-0.201356492,-0.051527744,-0.295996895,0.017434196,0.113625915,0.201410402,-0.047658521,-0.165097001,0.134886698,0.041946774,-0.227801613,-4.47E-05,-0.029531927,-0.144429877,-0.090669212,-0.05091096,0.206127813,-0.052568818,-0.105766321,-0.110788609,0.071630681,0.106660763,0.124497835,0.000181402,-0.003259981,-0.127950899,-0.003184944,0.019233751,0.070515732,-0.103407708,-0.202355505,-0.032565595,-0.185901025,-0.076482649,-0.14207622,-0.131443862,0.208954635,-0.09535723,-0.017621792,0.020710547,-0.14805063,0.21572846,0.110278508,0.037769791,-0.12548407,0.063480186,0.104290735,0.0059788,0.142908469,0.024826375,0.071076718,0.043195616,0.187500299,-0.109756913,0.137775234,0.069640544,0.088385051,0.014861963,0.068678728,-0.012307774,0.096518979,-0.183540454,0.003502883,-0.043380046,0.170157479,-0.127128754,0.111246445,0.252415241,-0.023963366,-0.051179424,0.078646494,0.181250278,0.101766678,0.054337559,-0.046080334,0.074929491,0.165588443,-0.043339062,0.253014173,0.223451734,0.124617898,-0.108199135,0.157177247,-0.004036923,0.165136897,0.100233488,0.036723671,-0.050874482,-0.031467135,0.112481249,0.156466074,0.245380303,0.192391352,0.117936543,0.211015327,0.247519744,0.116575514,-0.019486544,0.089421121,-0.008807702,0.159686666,0.219636684,0.241392785,0.153912999,0.339642163,0.178913865,0.151603547,0.263155659,0.363579232,0.224005539,0.375514207,0.250309737,0.372248821,0.228496872,0.260389282,0.369034998,0.355643457,0.213148905,0.369352728,0.27683083,0.420949032,0.139949033,0.153120334,0.152685084,0.165602038,0.27492154,0.239985444,0.245745435,0.214827084,0.234856279,0.245302573,0.103402259,-0.043767195,0.247713834,0.360256458,0.214150962,0.074422625,0.197912856,0.123568718,0.516622072,0.273907862,0.235740934,0.363808509,0.389898615,0.103042016,0.176633865,0.411108435,0.25440577,0.310845465,0.357669803,0.28889226,-0.033213559,0.098002732,-0.000527742,0.457089343,-0.042807122,0.316022698,0.279850928,0.263315804,0.278124974,0.200527556,0.248777204,0.219849319,0.517249381,0.259155165,0.267425599,0.170808521,0.26924511,0.021682448,0.227083665,-0.071605518,0.176232041,0.277574298,0.357848171,0.360879911,0.48434463,0.093590672,0.100623492,0.396754543,0.038305699,0.278908823,0.228135616,0.358665575,0.405917659,0.206818888,0.308743272,0.156039721,0.386373663,0.281810859,0.317129735,-0.102562347,0.202628098,0.0691749,0.095412167,0.262103087,0.149694398,0.435871915,0.439953734
OFF,0.040476518,-0.039002572,0.037130145,-0.007100731,0.176414496,0.070342651,-0.141281309,-0.064288067,0.110050445,-0.06235994,0.209441708,0.131274136,-0.113826835,-0.071646719,-0.109206453,-0.162967547,-0.126725645,-0.119399201,0.082679726,-0.056072952,-0.094687528,-0.083031237,-0.141078825,-0.017554156,-0.067029812,-0.378870837,-0.161992072,-0.213064088,-0.039922326,0.009597472,-0.116327111,0.077241976,0.022230578,0.105235999,-0.09321047,0.051251773,-0.111691767,-0.079491712,-0.051888765,-0.094719141,-0.134972893,-0.055415886,-0.267771893,-0.001308387,0.071859338,0.157861215,-0.050267414,-0.139871247,0.110220526,0.021375148,-0.209608263,-0.003552936,-0.059568595,-0.140329265,-0.106501759,-0.059215954,0.189344479,-0.050346588,-0.099272112,-0.073319376,0.081836141,0.051319256,0.116565726,0.003233318,0.004981868,-0.116459162,-0.018349344,0.017839426,0.04966864,-0.111872065,-0.177096587,-0.06783294,-0.188134984,-0.106495429,-0.151860467,-0.128031715,0.163837538,-0.067181896,-0.013202813,0.030378223,-0.139380432,0.197349553,0.085007962,0.026916417,-0.162781565,0.058621465,0.08705579,-0.003515477,0.116716767,-0.010244523,0.069672364,0.023533959,0.168658402,-0.104520014,0.100956251,0.030641245,0.033927295,0.00715926,0.023595271,-0.027011939,0.054970571,-0.176696846,-0.017126411,-0.03912347,0.112845499,-0.131376876,0.104361706,0.209319131,-0.06094358,-0.043243343,0.09533467,0.156744636,0.064031618,0.07896914,-0.038531759,0.036684842,0.136133227,-0.03040495,0.196778502,0.226601411,0.125794221,-0.081256958,0.149830719,-0.009422964,0.132992953,0.095030622,0.051550201,0.002458485,0.015954348,0.107812771,0.124656224,0.246968805,0.173153019,0.129153911,0.222836414,0.225179694,0.104050356,0.001853369,0.066079687,0.024627339,0.132919037,0.254828135,0.212527322,0.159911881,0.324371343,0.163385932,0.159152408,0.283540482,0.365044864,0.245132214,0.356083253,0.278139368,0.339562476,0.214119098,0.29136597,0.391893451,0.371131186,0.242521273,0.374967342,0.298712874,0.416583268,0.143383519,0.195957549,0.186968553,0.150899676,0.265848749,0.236797659,0.228282267,0.236552772,0.246465374,0.293214341,0.102356964,-0.024668314,0.260573714,0.342698399,0.231425612,0.101408681,0.223088727,0.160248949,0.534105771,0.280306528,0.28378348,0.343828663,0.448657738,0.184894266,0.232254996,0.452812771,0.256967697,0.320974793,0.362798851,0.316005624,0.010019265,0.144671562,0.043299459,0.506411443,0.02888918,0.34915674,0.301719774,0.244417679,0.312282742,0.24508558,0.301462499,0.266315081,0.502250408,0.340463817,0.330715172,0.23033815,0.317566254,0.075266969,0.274638617,-0.007173696,0.229001831,0.319046769,0.430819509,0.404523111,0.489837369,0.153973805,0.170637064,0.46368991,0.087178765,0.33357801,0.331742873,0.390643314,0.468592273,0.254873267,0.411485877,0.220562732,0.409458015,0.377463191,0.39127082,-0.024164211,0.302469024,0.121016272,0.192796144,0.327956968,0.237486246,0.462474346,0.498075244
,TENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,0.012109172,0.162061472,0.081970248,-0.063092398,-0.039567039,-0.308412669,0.160606959,0.013877734,0.188205211,0.109772851,-0.055982542,0.133232846,-0.304958884,0.043526086,0.000355752,0.008853915,0.059025179,0.043688968,-0.153544782,-0.03588195,-0.310570688,-0.206508457,0.004008545,0.00541599,-0.024981165,-0.173433717,0.13805341,-0.088922716,0.053576815,-0.04423328,0.109229787,-0.003344132,0.114916837,-0.139041361,-0.174946047,-0.211594921,-0.4340198,-0.236999446,-0.03970618,-0.137326304,-0.056967385,-0.013803334,-0.197922505,-0.218952954,-0.071164947,-0.121052262,-0.128820508,0.044263822,-0.126152792,-0.25487418,-0.136526391,-0.003146518,-0.297349231,-0.070012954,-0.167951961,-0.133619972,0.037532928,-0.348641156,-0.105209773,-0.10801251,-0.137575598,-0.004365176,-0.093250452,-0.137015333,0.007490216,-0.044959392,-0.035483045,-0.043025527,-0.131391199,-0.287312941,-0.086381407,-0.306824497,0.110847243,0.076207982,-0.24439768,-0.172473471,-0.019475498,-0.057320244,0.162593786,-0.072396559,-0.098236212,0.055022879,-0.145374966,-0.039421254,-0.203008096,0.114594785,0.041113283,0.03230416,-0.170126699,-0.02092565,-0.057511155,-0.138185137,-0.030587042,-0.032086461,-0.006920963,-0.158226909,0.130283149,-0.039924396,-0.16388429,-0.003214951,0.199225315,0.018762939,-0.033914716,-0.080979413,0.019100483,-0.114368941,0.221658217,0.275342844,0.045601421,0.012041937,0.05418644,0.025635812,0.049324476,0.068950505,0.10305333,0.133019408,0.021420787,0.21873356,0.121494334,0.009085609,0.15189657,0.020080507,0.10475123,0.210482808,-0.056811311,0.042312596,0.017570715,0.051575019,-0.046556698,0.183998784,-0.030232309,0.066563824,-0.048034775,0.044252173,0.155039228,-0.067899111,-0.031235446,-0.025361176,0.066089894,-0.095949882,0.164725042,0.063361383,0.135424112,0.217171229,0.165341565,-0.107807749,0.143422384,-0.081193637,-0.104567609,-0.132485252,-0.079608684,-0.075299889,0.253976761,-0.050952926,0.045284851,-0.098028117,-0.241345838,0.07828253,0.106152933,-0.064552501,-0.210457735,-0.024009477,-0.062335391,-0.00714661,-0.014255614,-0.044736299,0.161018325,-0.128239369,0.089289589,-0.022660891,0.143885023,0.098076959,0.181511122,-0.071784635,0.002990953,-0.020287529,0.008312873,0.050331849,0.050970816,0.275581024,-0.003668985,0.181364966,0.046453265,0.126669585,0.148315534,0.185761956,0.220278224,-0.037558325,-0.049328205,-0.413185621,0.201064693,0.117937212,0.064598297,0.278988431,0.153032053,-0.24222631,0.15352078,0.049143661,0.224504948,-0.012176288,0.054875242,0.114084637,-0.189958112,0.079596825,-0.357569167,-0.03492608,-0.152683234,-0.098882805,-0.199034118,-0.060687981,0.202916833,-0.220892045,0.158813793,0.085450569,-0.234988578,0.208840232,0.06015954,0.061032433,-0.034659928,0.068721519,-0.038832584,-0.01265956,-0.047405266,-0.226056894,0.243642556,0.119128045,0.017300689,0.130693967,0.013043729,-0.147799075,0.211810223,0.054456671,0.019506493,-0.000582219,-0.089244262,0.204141296,0.08957715,0.359136692
