Central Yr,HadGEM2-6.0,GFDL-ESM2M-6.0,IPSL-CM5A-LR-6.0,MIROC5-6.0,HadGEM2-2.6,GFDL-ESM2M-2.6,IPSL-CM5A-LR-2.6,MIROC5-2.6
1870,0.076592999,0.04864044,0.098820509,0.049295146,0.076592999,0.04864044,0.098820509,0.049295146
1871,0.068144038,0.046997136,0.099340509,0.041027478,0.068144038,0.046997136,0.099340509,0.041027478
1872,0.054070801,0.047610727,0.110853619,0.036362465,0.054070801,0.047610727,0.110853619,0.036362465
1873,0.051252283,0.046725894,0.118042462,0.033119942,0.051252283,0.046725894,0.118042462,0.033119942
1874,0.064604041,0.045167071,0.118094018,0.030660234,0.064604041,0.045167071,0.118094018,0.030660234
1875,0.060247822,0.032287336,0.093669365,0.034922734,0.060247822,0.032287336,0.093669365,0.034922734
1876,0.057999397,0.011302295,0.067313952,0.028617198,0.057999397,0.011302295,0.067313952,0.028617198
1877,0.042011978,-0.010522636,0.053827905,0.018782171,0.042011978,-0.010522636,0.053827905,0.018782171
1878,0.02197075,-0.036594162,0.048679735,0.010062256,0.02197075,-0.036594162,0.048679735,0.010062256
1879,0.006686452,-0.050499129,0.047624707,-0.003789983,0.006686452,-0.050499129,0.047624707,-0.003789983
1880,-0.012586208,-0.067970132,0.032171222,-0.004163062,-0.012586208,-0.067970132,0.032171222,-0.004163062
1881,-0.032058842,-0.077489271,0.020464095,0.010919377,-0.032058842,-0.077489271,0.020464095,0.010919377
1882,-0.051060043,-0.086436454,0.007843132,0.005145908,-0.051060043,-0.086436454,0.007843132,0.005145908
1883,-0.062590013,-0.089353352,0.005162073,-0.024019029,-0.062590013,-0.089353352,0.005162073,-0.024019029
1884,-0.068360698,-0.099775057,-0.00798332,-0.04227558,-0.068360698,-0.099775057,-0.00798332,-0.04227558
1885,-0.063530373,-0.105120326,-0.024279604,-0.040504782,-0.063530373,-0.105120326,-0.024279604,-0.040504782
1886,-0.050988453,-0.101786251,-0.044350485,-0.033652725,-0.050988453,-0.101786251,-0.044350485,-0.033652725
1887,-0.046603992,-0.07867245,-0.055500612,-0.027423132,-0.046603992,-0.07867245,-0.055500612,-0.027423132
1888,-0.055457525,-0.07720437,-0.069669318,-0.038542356,-0.055457525,-0.07720437,-0.069669318,-0.038542356
1889,-0.074032482,-0.067047186,-0.084784828,-0.055352097,-0.074032482,-0.067047186,-0.084784828,-0.055352097
1890,-0.081955123,-0.058285173,-0.091218157,-0.049747857,-0.081955123,-0.058285173,-0.091218157,-0.049747857
1891,-0.068153427,-0.04700365,-0.099354188,-0.04103316,-0.068153427,-0.04700365,-0.099354188,-0.04103316
1892,-0.064833497,-0.037561758,-0.116463778,-0.035720774,-0.064833497,-0.037561758,-0.116463778,-0.035720774
1893,-0.068603499,-0.032195485,-0.11551053,-0.039857303,-0.068603499,-0.032195485,-0.11551053,-0.039857303
1894,-0.096712379,-0.039283234,-0.113490207,-0.047970791,-0.096712379,-0.039283234,-0.113490207,-0.047970791
